tweet_id,retweet_count,favorite_count
892420643555336193,8379,38258
892177421306343426,6187,32797
891815181378084864,4092,24697
891689557279858688,8512,41582
891327558926688256,9228,39757
891087950875897856,3067,19955
890971913173991426,2036,11681
890729181411237888,18608,64575
890609185150312448,4213,27429
890240255349198849,7279,31483
890006608113172480,7229,30251
889880896479866881,4902,27410
889665388333682689,9917,47485
889638837579907072,4480,26805
889531135344209921,2209,14903
889278841981685760,5304,24915
888917238123831296,4430,28691
888804989199671297,4236,25229
888554962724278272,3499,19581
888078434458587136,3447,21475
887705289381826560,5315,29760
887517139158093824,11503,45652
887473957103951883,17932,68164
887343217045368832,10258,33226
887101392804085760,5882,30161
886983233522544640,7669,34693
886736880519319552,3237,11885
886680336477933568,4400,22141
886366144734445568,3153,20899
886267009285017600,4,116
886258384151887873,6192,27618
886054160059072513,105,0
885984800019947520,6704,32240
885528943205470208,6338,35510
885518971528720385,3708,20156
885311592912609280,18328,0
885167619883638784,4321,21636
884925521741709313,18061,76421
884876753390489601,5586,27554
884562892145688576,4687,23991
884441805382717440,5577,26644
884247878851493888,20192,72096
884162670584377345,2946,20092
883838122936631299,3404,21622
883482846933004288,9824,45342
883360690899218434,3631,22280
883117836046086144,6586,36707
882992080364220416,3868,23654
882762694511734784,4855,27952
882627270321602560,6005,27555
882268110199369728,11450,44373
882045870035918850,4908,28985
881906580714921986,3351,24006
881666595344535552,10533,49932
881633300179243008,7,124
881536004380872706,15747,48815
881268444196462592,5106,22787
880935762899988482,2750,16796
880872448815771648,3770,21007
880465832366813184,6203,28171
880221127280381952,4168,26726
880095782870896641,4307,27290
879862464715927552,3456,22045
879674319642796034,10,310
879492040517615616,3147,23123
879415818425184262,43662,104574
879376492567855104,3085,16564
879130579576475649,6749,0
879050749262655488,4672,22289
879008229531029506,2666,18750
878776093423087618,4081,19177
878604707211726852,7125,29904
878404777348136964,1275,0
878316110768087041,6585,0
878281511006478336,1275,7652
878057613040115712,6749,41528
877736472329191424,18884,78785
877611172832227328,80,0
877556246731214848,3771,22445
877316821321428993,5123,27047
877201837425926144,5528,26799
876838120628539392,3311,20429
876537666061221889,4580,23220
876484053909872640,2377,18537
876120275196170240,4655,27594
875747767867523072,4256,24895
875144289856114688,4888,21671
875097192612077568,5998,27115
875021211251597312,4679,25182
874680097055178752,4610,27525
874434818259525634,14645,0
874296783580663808,4083,25781
874057562936811520,3932,22415
874012996292530176,10357,34251
873580283840344065,3923,23976
873337748698140672,1580,0
873213775632977920,1580,7168
872967104147763200,5385,27116
872820683541237760,3681,14571
872620804844003328,3686,20597
872486979161796608,8978,40332
872261713294495745,6301,33923
872122724285648897,8102,34176
871879754684805121,11165,37704
871762521631449091,3471,20124
871515927908634625,3448,20079
871166179821445120,5698,0
871102520638267392,5504,20789
871032628920680449,3818,22521
870804317367881728,6211,33429
870726314365509632,3,119
870656317836468226,2652,12344
870374049280663552,26268,82301
870308999962521604,4163,21733
870063196459192321,8377,36519
869772420881756160,10067,42267
869702957897576449,6367,28146
869596645499047938,3142,15932
869227993411051520,3803,20381
868880397819494401,14582,65540
868639477480148993,2111,0
868622495443632128,5474,26846
868552278524837888,2111,10129
867900495410671616,4211,24182
867774946302451713,7404,34007
867421006826221569,2532,16125
867072653475098625,122,0
867051520902168576,7945,32271
866720684873056260,4865,20121
866686824827068416,3529,19372
866450705531457537,35691,122599
866334964761202691,14645,52770
866094527597207552,8484,0
865718153858494464,5686,25710
865359393868664832,5068,26579
865006731092295680,7796,28143
864873206498414592,8840,32462
864279568663928832,3088,14708
864197398364647424,9091,30341
863907417377173506,4213,20766
863553081350529029,4247,15403
863471782782697472,2502,0
863432100342583297,5357,23989
863427515083354112,99,2279
863079547188785154,1119,8831
863062471531167744,2502,8593
862831371563274240,5179,19323
862722525377298433,3595,17200
862457590147678208,5052,20725
862096992088072192,23779,75196
861383897657036800,10920,36424
861288531465048066,4244,17364
861005113778896900,3890,16889
860981674716409858,2207,0
860924035999428608,842,0
860563773140209665,2207,7590
860524505164394496,5397,23887
860276583193509888,3558,18507
860184849394610176,5968,16879
860177593139703809,31628,0
859924526012018688,4199,19783
859851578198683649,3599,15585
859607811541651456,1613,18828
859196978902773760,31025,91091
859074603037188101,13971,34362
858860390427611136,8372,0
858843525470990336,3572,15749
858471635011153920,4987,21808
858107933456039936,3004,15957
857989990357356544,2662,16362
857746408056729600,10971,34833
857393404942143489,1691,6006
857263160327368704,4661,20345
857214891891077121,17,232
857062103051644929,177,0
857029823797047296,4138,19268
856602993587888130,11062,0
856543823941562368,2981,16563
856526610513747968,1942,12056
856330835276025856,702,0
856288084350160898,17,527
856282028240666624,6546,28247
855862651834028034,28,353
855860136149123072,1069,5145
855857698524602368,2191,12087
855851453814013952,18358,46343
855818117272018944,5632,27141
855459453768019968,8535,30580
855245323840757760,6220,0
855138241867124737,48,0
854732716440526848,6365,23383
854482394044301312,7170,30051
854365224396361728,4888,19370
854120357044912130,7816,32787
854010172552949760,3298,16620
853760880890318849,6069,29376
853639147608842240,10612,35838
853299958564483072,3739,15963
852936405516943360,2108,0
852912242202992640,1930,9323
852672615818899456,2265,15364
852553447878664193,3696,16869
852311364735569921,10397,34150
852226086759018497,7151,20624
