name,handedness,height (inches),weight(pounds),avg,avg_group,HR
Tom Brown,right-handed,73,170,0,0,0
Denny Lemaster,right-handed,73,182,0.13,0.13,4
Joe Nolan,left-handed,71,175,0.263,0.27,27
Denny Doyle,left-handed,69,175,0.25,0.25,16
Jose Cardenal,right-handed,70,150,0.275,0.28,138
Mike Ryan,right-handed,74,205,0.193,0.2,28
Fritz Peterson,both-handed,72,185,0.159,0.16,2
Dick Bertell,right-handed,72,200,0.25,0.25,10
Rod Kanehl,right-handed,73,180,0.241,0.25,6
Ozzie Osborn,right-handed,74,195,0,0,0
John LaRose,left-handed,73,185,0,0,0
Jeff Byrd,right-handed,75,195,0,0,0
Juan Bonilla,right-handed,69,170,0.256,0.26,7
Frank Tepedino,left-handed,71,185,0.241,0.25,6
Jerry Kutzler,left-handed,73,175,0,0,0
Rick Wise,right-handed,73,180,0.195,0.2,15
Darrell Evans,left-handed,74,200,0.248,0.25,414
Buck Martinez,right-handed,70,190,0.225,0.23,58
John Wockenfuss,right-handed,72,190,0.262,0.27,86
Tommy McCraw,left-handed,72,183,0.246,0.25,75
Jeff Barkley,both-handed,75,185,0,0,0
Eric Wilkins,right-handed,73,190,0,0,0
Britt Burns,left-handed,77,215,0,0,0
Lee Lacy,right-handed,73,175,0.286,0.29,91
Pete Rose,both-handed,71,192,0.303,0.31,160
Danny Walton,right-handed,72,195,0.223,0.23,28
Bobby Cox,right-handed,71,180,0.225,0.23,9
Brad Wellman,right-handed,72,170,0.231,0.24,6
Jeff Newman,right-handed,74,215,0.224,0.23,63
Pedro Gonzalez,right-handed,72,176,0.244,0.25,8
Nardi Contreras,both-handed,74,193,0,0,0
Tommie Reynolds,right-handed,74,190,0.226,0.23,12
Gene Clines,right-handed,69,170,0.277,0.28,5
Jim Hickman,right-handed,75,192,0.252,0.26,159
Jack Billingham,right-handed,76,195,0.111,0.12,0
Jerry Buchek,right-handed,71,185,0.22,0.22,22
Ivan DeJesus,right-handed,71,175,0.254,0.26,21
Gary Nolan,right-handed,74,197,0.138,0.14,1
Gil Patterson,right-handed,73,185,0,0,0
Fred Whitfield,left-handed,73,190,0.253,0.26,108
Larry Dierker,right-handed,76,215,0.136,0.14,4
Dave Skaggs,right-handed,74,200,0.241,0.25,3
Dick Ruthven,right-handed,75,190,0.183,0.19,1
Jerry Garvin,left-handed,75,195,0,0,0
Steve Eddy,right-handed,74,185,0,0,0
Dave Kingman,right-handed,78,210,0.236,0.24,442
Eric Soderholm,right-handed,71,187,0.264,0.27,102
Kevin Mmahat,left-handed,77,220,0,0,0
Ed Brinkman,right-handed,72,170,0.224,0.23,60
Wayne Garrett,left-handed,71,175,0.239,0.24,61
Tony Muser,left-handed,74,180,0.259,0.26,7
Jim Siwy,right-handed,76,200,0,0,0
Bud Anderson,right-handed,75,210,0,0,0
Ted Ford,right-handed,70,180,0.219,0.22,17
Kevin Stanfield,left-handed,72,190,0,0,0
Jim Lyttle,left-handed,72,180,0.248,0.25,9
John Butcher,right-handed,76,185,0,0,0
Jerry Ujdur,right-handed,73,195,0,0,0
Scot Thompson,left-handed,75,195,0.262,0.27,5
Gene Locklear,left-handed,70,165,0.274,0.28,9
Bo Diaz,right-handed,71,185,0.255,0.26,87
Bump Wills,both-handed,69,172,0.266,0.27,36
Brian Denman,right-handed,76,205,0,0,0
Pat Putnam,left-handed,72,205,0.255,0.26,63
Kurt Bevacqua,right-handed,72,180,0.236,0.24,27
Bob Fallon,left-handed,75,200,0,0,0
Syd O'Brien,right-handed,73,185,0.23,0.23,24
Chris Chambliss,left-handed,73,195,0.279,0.28,185
Tom Satriano,left-handed,73,185,0.225,0.23,21
Jeffrey Leonard,right-handed,74,200,0.266,0.27,144
Dal Maxvill,right-handed,71,157,0.217,0.22,6
Steve Curry,right-handed,78,217,0,0,0
Cesar Tovar,right-handed,69,155,0.278,0.28,46
Mickey Lolich,both-handed,73,170,0.11,0.11,0
Ray Chadwick,both-handed,74,180,0,0,0
Jack Heidemann,right-handed,72,175,0.211,0.22,9
Rich Rollins,right-handed,70,185,0.269,0.27,77
Walt Bond,left-handed,79,228,0.256,0.26,41
Merv Rettenmund,right-handed,70,190,0.271,0.28,66
Bryan Clutterbuck,right-handed,76,223,0,0,0
Byron Browne,right-handed,74,190,0.236,0.24,30
Hector Torres,right-handed,72,175,0.216,0.22,18
Walt Williams,right-handed,66,165,0.27,0.27,33
Jerry Koosman,right-handed,74,205,0.119,0.12,2
Steve Lombardozzi,right-handed,72,175,0.233,0.24,20
Joe Azcue,right-handed,72,190,0.252,0.26,50
Elliott Maddox,right-handed,71,180,0.261,0.27,18
Omar Moreno,left-handed,74,180,0.252,0.26,37
Julian Javier,right-handed,73,175,0.257,0.26,78
Tony Ferreira,left-handed,73,160,0,0,0
Elio Chacon,right-handed,69,160,0.232,0.24,4
Rusty Torres,both-handed,70,175,0.212,0.22,35
John Stearns,right-handed,72,185,0.26,0.26,46
Larry Brown,right-handed,70,160,0.233,0.24,47
Tommy Dean,right-handed,72,165,0.18,0.18,4
Bryan Oelkers,left-handed,75,192,0,0,0
Kevin Bearse,left-handed,74,195,0,0,0
Marty Martinez,both-handed,72,170,0.243,0.25,0
Bruce Boisclair,left-handed,74,185,0.263,0.27,10
Ken Singleton,both-handed,76,210,0.282,0.29,246
Frank White,right-handed,71,165,0.255,0.26,160
Jim Fairey,left-handed,70,190,0.235,0.24,7
Jose Roman,right-handed,72,175,0,0,0
Tom Brookens,right-handed,70,165,0.246,0.25,71
Gary Thomasson,left-handed,73,180,0.249,0.25,61
Mike Trujillo,right-handed,73,180,0,0,0
Albert Williams,right-handed,76,190,0,0,0
Oswaldo Peraza,right-handed,76,172,0,0,0
Otto Velez,right-handed,72,170,0.251,0.26,78
Tony Scott,both-handed,72,164,0.249,0.25,17
Ray Oyler,right-handed,71,165,0.175,0.18,15
Barry Cort,right-handed,77,210,0,0,0
Floyd Robinson,left-handed,69,175,0.283,0.29,67
Steve Jeltz,both-handed,71,180,0.21,0.21,5
Lou Brock,left-handed,71,170,0.293,0.3,149
Bill Wilkinson,right-handed,70,160,0,0,0
Joe Lovitto,both-handed,72,185,0.216,0.22,4
Mike Loynd,right-handed,76,210,0,0,0
Wayne Comer,right-handed,70,175,0.229,0.23,16
Dave Collins,both-handed,71,175,0.272,0.28,32
Ed Spiezio,right-handed,71,180,0.238,0.24,39
Rico Petrocelli,right-handed,72,175,0.251,0.26,210
Johnny Lewis,left-handed,73,189,0.227,0.23,22
Dick Simpson,right-handed,76,176,0.207,0.21,15
Ken Boswell,left-handed,72,170,0.248,0.25,31
Ken McMullen,right-handed,75,190,0.248,0.25,156
Randy Scarbery,both-handed,73,185,0,0,0
Steve Swisher,right-handed,74,205,0.216,0.22,20
Ben Callahan,right-handed,79,230,0,0,0
Dick Howser,right-handed,68,155,0.248,0.25,16
Manny Castillo,both-handed,69,160,0.242,0.25,3
Mike Ramsey,both-handed,73,170,0.24,0.24,2
Willie Crawford,left-handed,73,197,0.268,0.27,86
Bobby Cuellar,right-handed,71,188,0,0,0
Willie Norwood,right-handed,72,185,0.242,0.25,18
Mike Jones,left-handed,78,215,0,0,0
Jeff Stone,left-handed,72,175,0.277,0.28,11
Ramon Manon,right-handed,72,150,0,0,0
Joe Lahoud,left-handed,73,198,0.223,0.23,65
Tim Flannery,left-handed,71,175,0.255,0.26,9
Dave McKay,both-handed,73,195,0.229,0.23,21
John Trautwein,right-handed,75,205,0,0,0
Andy Replogle,right-handed,77,205,0,0,0
Zach Crouch,left-handed,75,180,0,0,0
Benny Ayala,right-handed,73,185,0.251,0.26,38
Ron Romanick,right-handed,76,195,0,0,0
Greg Gross,left-handed,70,160,0.287,0.29,7
Bruce Tanner,left-handed,75,220,0,0,0
Sal Butera,right-handed,72,190,0.227,0.23,8
Jack Brohamer,left-handed,70,165,0.245,0.25,30
Von Joshua,left-handed,70,170,0.273,0.28,30
Eddie Milner,left-handed,71,173,0.253,0.26,42
Johnny Jeter,right-handed,73,180,0.244,0.25,18
Angel Salazar,right-handed,72,180,0.212,0.22,2
Tony Oliva,left-handed,73,175,0.304,0.31,220
Cito Gaston,right-handed,75,190,0.256,0.26,91
Cookie Rojas,right-handed,70,160,0.263,0.27,54
Rich Morales,right-handed,71,170,0.195,0.2,6
Dave Ford,right-handed,76,190,0,0,0
Dan Ford,right-handed,73,185,0.27,0.27,121
Barry Raziano,both-handed,70,175,0,0,0
Darryl Motley,right-handed,69,196,0.243,0.25,44
Ozzie Virgil,right-handed,73,180,0.243,0.25,98
Johnny Oates,left-handed,71,188,0.25,0.25,14
Pat Underwood,left-handed,72,175,0,0,0
Mike Phillips,left-handed,72,170,0.24,0.24,11
Ron Santo,right-handed,72,190,0.277,0.28,342
Jay Johnstone,left-handed,73,175,0.267,0.27,102
Jim Ray Hart,right-handed,71,185,0.278,0.28,170
Marc Hill,right-handed,75,205,0.223,0.23,34
Joel McKeon,left-handed,72,185,0,0,0
Danny Fife,right-handed,75,175,0,0,0
Chico Salmon,right-handed,70,160,0.249,0.25,31
Joe Niekro,right-handed,73,185,0.156,0.16,1
Andy Etchebarren,right-handed,73,190,0.235,0.24,49
Ken Berry,right-handed,72,175,0.255,0.26,58
Dave Concepcion,right-handed,74,155,0.267,0.27,101
Junior Moore,right-handed,71,185,0.264,0.27,7
Mike Richardt,right-handed,72,170,0.226,0.23,4
Chris Brown,right-handed,72,185,0.269,0.27,38
Al Bumbry,left-handed,68,170,0.281,0.29,54
Al Downing,right-handed,71,175,0.127,0.13,2
Bob Didier,both-handed,72,190,0.229,0.23,0
Jake Gibbs,left-handed,72,180,0.233,0.24,25
Garry Hancock,left-handed,72,175,0.247,0.25,12
Ed Kranepool,left-handed,75,205,0.261,0.27,118
Rick Rhoden,right-handed,75,195,0.238,0.24,9
Denny McLain,right-handed,73,185,0.133,0.14,1
Chuck Hiller,left-handed,71,170,0.243,0.25,20
Jorge Orta,left-handed,70,170,0.278,0.28,130
Dave Cash,right-handed,71,170,0.283,0.29,21
Bucky Dent,right-handed,69,170,0.247,0.25,40
Andy Beene,right-handed,75,205,0,0,0
Bruce Robbins,left-handed,73,190,0,0,0
Tony Gonzalez,left-handed,69,170,0.286,0.29,103
Leon Hooten,right-handed,71,180,0,0,0
Larry Haney,right-handed,74,195,0.215,0.22,12
Billy Conigliaro,right-handed,72,180,0.256,0.26,40
Gary Roenicke,right-handed,75,205,0.247,0.25,121
Don Lock,right-handed,74,195,0.238,0.24,122
Billy Cowan,right-handed,72,170,0.236,0.24,40
Billy Smith,both-handed,74,185,0.23,0.23,17
Allan Ramirez,right-handed,70,180,0,0,0
Tony Perez,right-handed,74,175,0.279,0.28,379
Chuck Schilling,right-handed,70,160,0.239,0.24,23
Hal McRae,right-handed,71,180,0.29,0.29,191
Dave Roberts,right-handed,75,215,0.239,0.24,49
Brian Allard,right-handed,73,175,0,0,0
Jim Lefebvre,both-handed,72,180,0.251,0.26,74
Fernando Arroyo,right-handed,74,180,0,0,0
Gary Beare,right-handed,76,205,0,0,0
Charlie Spikes,right-handed,75,215,0.246,0.25,65
Brian Dubois,left-handed,70,165,0,0,0
Steve Whitaker,left-handed,72,180,0.23,0.23,24
Manny Jimenez,left-handed,73,185,0.272,0.28,26
Chris Batton,right-handed,76,195,0,0,0
Duffy Dyer,right-handed,72,187,0.221,0.23,30
Ken Henderson,both-handed,74,180,0.257,0.26,122
Vance Lovelace,left-handed,77,205,0,0,0
Greg Thayer,right-handed,71,182,0,0,0
Vern Fuller,right-handed,73,170,0.232,0.24,14
Paul Hartzell,right-handed,77,200,0,0,0
Wayne Gross,left-handed,74,210,0.233,0.24,121
Mike Champion,right-handed,72,185,0.229,0.23,2
Ralph Botting,left-handed,72,195,0,0,0
Paul Casanova,right-handed,76,180,0.225,0.23,50
Steve Rogers,right-handed,74,175,0.138,0.14,0
Keith Creel,right-handed,74,180,0,0,0
Terry Crowley,left-handed,72,180,0.25,0.25,42
Horace Clarke,both-handed,69,170,0.256,0.26,27
Lou Clinton,right-handed,73,185,0.247,0.25,65
Larry Cox,right-handed,70,178,0.221,0.23,12
Nate Colbert,right-handed,74,190,0.243,0.25,173
Phil Roof,right-handed,74,190,0.215,0.22,43
Chuck Hinton,right-handed,73,180,0.264,0.27,113
Tim Cullen,right-handed,73,185,0.22,0.22,9
Tim Harkness,left-handed,74,182,0.235,0.24,14
Rick Bosetti,right-handed,71,185,0.25,0.25,17
Ron Pruitt,right-handed,72,185,0.269,0.27,12
George Foster,right-handed,73,180,0.274,0.28,348
Jerry White,both-handed,70,164,0.253,0.26,21
Angel Mangual,right-handed,70,178,0.245,0.25,22
Ken Gerhart,right-handed,72,190,0.221,0.23,24
Mike Hershberger,right-handed,70,175,0.252,0.26,26
Jim French,left-handed,68,180,0.196,0.2,5
Dave Roberts,left-handed,75,195,0.194,0.2,7
Jim Mason,left-handed,74,185,0.203,0.21,12
Mike Smith,right-handed,75,180,0,0,0
Willie Smith,left-handed,72,182,0.248,0.25,46
T.R. Bryden,right-handed,76,190,0,0,0
Jose Arcia,right-handed,75,170,0.215,0.22,1
Leon Durham,left-handed,73,185,0.277,0.28,147
Tom Makowski,right-handed,71,185,0,0,0
Paul Householder,both-handed,72,180,0.236,0.24,29
Aurelio Rodriguez,right-handed,70,180,0.237,0.24,124
Jimmy Stewart,both-handed,72,165,0.237,0.24,8
Dick Phillips,left-handed,72,180,0.229,0.23,12
Andres Thomas,right-handed,73,170,0.234,0.24,42
Ed Crosby,left-handed,74,175,0.22,0.22,0
Mike de la Hoz,right-handed,71,175,0.251,0.26,25
Frank Taveras,right-handed,72,155,0.255,0.26,2
Joe Nossek,right-handed,72,178,0.228,0.23,3
Larry Stahl,left-handed,72,175,0.232,0.24,36
Jose Cruz,left-handed,72,170,0.284,0.29,165
Don Mason,left-handed,71,160,0.205,0.21,3
Bill Robinson,right-handed,74,189,0.258,0.26,166
Jim Umbarger,left-handed,78,200,0,0,0
Sal Bando,right-handed,72,195,0.254,0.26,242
George Mitterwald,right-handed,74,195,0.236,0.24,76
Mike Darr,right-handed,76,190,0,0,0
Craig Robinson,right-handed,70,165,0.219,0.22,0
Bob Tillman,right-handed,76,205,0.232,0.24,79
Curt Wardle,left-handed,77,220,0,0,0
Pat Corrales,right-handed,72,180,0.216,0.22,4
Mike Tyson,right-handed,69,170,0.241,0.25,27
Rafael Landestoy,both-handed,70,165,0.237,0.24,4
Duane Josephson,right-handed,72,190,0.258,0.26,23
Duane Walker,left-handed,72,185,0.229,0.23,24
Glenn Hubbard,right-handed,69,150,0.244,0.25,70
Roger Freed,right-handed,72,190,0.245,0.25,22
George Hendrick,right-handed,75,195,0.278,0.28,267
Rod Carew,left-handed,72,170,0.328,0.33,92
Bob Davis,right-handed,72,180,0.197,0.2,6
Toby Harrah,right-handed,72,175,0.264,0.27,195
Rick Manning,left-handed,73,180,0.257,0.26,56
Israel Sanchez,left-handed,69,170,0,0,0
Steve Burke,both-handed,74,200,0,0,0
Gary Matthews,right-handed,74,185,0.281,0.29,234
Cesar Geronimo,left-handed,72,165,0.258,0.26,51
Billy Bryan,left-handed,76,200,0.216,0.22,41
Terry Taylor,right-handed,73,180,0,0,0
Terry Whitfield,left-handed,73,197,0.281,0.29,33
Mario Mendoza,right-handed,71,170,0.215,0.22,4
Fred Lynn,left-handed,73,185,0.283,0.29,306
Larry Hisle,right-handed,74,193,0.273,0.28,166
Graig Nettles,left-handed,72,180,0.248,0.25,390
Randy Nosek,right-handed,76,215,0,0,0
Dave Engle,right-handed,75,210,0.262,0.27,31
Narciso Elvira,left-handed,70,160,0,0,0
Mike Easler,left-handed,72,190,0.293,0.3,118
Mark Smith,right-handed,74,215,0,0,0
Paul Mitchell,right-handed,73,195,0,0,0
Rick Sweet,both-handed,73,200,0.234,0.24,6
Thurman Munson,right-handed,71,190,0.292,0.3,113
Rick Monday,left-handed,75,193,0.264,0.27,241
Mike Sadek,right-handed,69,165,0.226,0.23,5
Mark Belanger,right-handed,73,170,0.228,0.23,20
Ron Hunt,right-handed,72,186,0.273,0.28,39
Joe Keough,left-handed,72,185,0.246,0.25,9
Butch Edge,right-handed,75,203,0,0,0
Vic Correll,right-handed,70,185,0.229,0.23,29
Jackie Hernandez,right-handed,71,165,0.208,0.21,12
Tony Solaita,left-handed,72,210,0.255,0.26,50
U L Washington,both-handed,71,175,0.251,0.26,27
Gary Mielke,right-handed,75,185,0,0,0
Rick Henninger,right-handed,78,225,0,0,0
Joe Foy,right-handed,72,215,0.248,0.25,58
Ed Goodson,left-handed,75,180,0.26,0.26,30
Mark Brown,both-handed,74,190,0,0,0
Mickey Klutts,right-handed,71,170,0.241,0.25,14
Leroy Stanton,right-handed,73,195,0.244,0.25,77
Rafael Vasquez,right-handed,72,160,0,0,0
Len Whitehouse,left-handed,71,175,0,0,0
Danny Ainge,right-handed,76,175,0.22,0.22,2
Adolfo Phillips,right-handed,73,175,0.247,0.25,59
Marv Breeding,right-handed,72,175,0.25,0.25,7
Steve Adkins,right-handed,78,210,0,0,0
Dick McAuliffe,left-handed,71,176,0.247,0.25,197
Joe Horlen,right-handed,72,170,0.134,0.14,0
Glenn Burke,right-handed,72,195,0.237,0.24,2
Tony Mack,right-handed,70,177,0,0,0
Terry Humphrey,right-handed,75,185,0.211,0.22,6
Bill Moran,right-handed,76,210,0,0,0
Enzo Hernandez,right-handed,68,155,0.224,0.23,2
Cesar Gutierrez,right-handed,69,155,0.235,0.24,0
Coco Laboy,right-handed,70,165,0.233,0.24,28
Ted Kubiak,both-handed,72,175,0.231,0.24,13
Jim Morrison,right-handed,71,175,0.26,0.26,112
Tom Gilles,right-handed,73,185,0,0,0
Bobby Knoop,right-handed,73,170,0.236,0.24,56
Bobby Brown,both-handed,74,190,0.245,0.25,26
